t,XPos,YPos
0,1.912611,-0.5845176
0.2,1.484408,-1.337825
0.4,0.5266093,-1.929273
0.6,-0.6851397,-1.878955
0.8,-1.556961,-1.255161
1,-1.911921,-0.5868309
1.2,-1.988383,-0.2152075
1.4,-1.985836,-0.2375623
1.6,-1.896334,-0.6354428
1.8,-1.514822,-1.305848
2,-0.652815,-1.890351
2.2,0.493443,-1.938044
2.4,1.406808,-1.421436
2.6,1.84679,-0.7675692
2.8,1.965109,-0.3719434
3,1.967358,-0.3598336
3.2,1.865609,-0.7206314
3.4,1.474231,-1.351441
3.6,0.6137812,-1.903327
3.8,-0.5156331,-1.932212
4,-1.408393,-1.419946
4.2,-1.829856,-0.8071293
4.4,-1.949367,-0.4471569
4.6,-1.948087,-0.4526939
4.8,-1.823528,-0.8213214
5,-1.4052,-1.423021
5.2,-0.5493063,-1.922932
5.4,0.5415555,-1.925159
5.6,1.4034,-1.424911
5.8,1.819405,-0.8304168
6,1.939304,-0.4889649
6.2,1.932206,-0.5162994
6.4,1.784465,-0.9030728
6.6,1.323678,-1.499143
6.8,0.415585,-1.956216
7,-0.6569684,-1.888917
7.2,-1.464656,-1.36181
7.4,-1.833807,-0.7981294
7.6,-1.93574,-0.5028923
7.8,-1.916007,-0.5734857
8,-1.738364,-0.9889634
8.2,-1.218834,-1.585575
8.4,-0.2880431,-1.978755
8.6,0.7654826,-1.846163
8.8,1.515596,-1.304827
9,1.847834,-0.7651024
9.2,1.934658,-0.5070456
9.4,1.902293,-0.617467
9.6,1.690042,-1.069338
9.8,1.122868,-1.654883
