t,XPos,YPos
0,1.912611,-0.5845176
0.1,1.758681,-0.9520173
0.2,1.47665,-1.346442
0.3,1.050504,-1.701785
0.4,0.4933472,-1.937976
0.5,-0.1219109,-1.996046
0.6,-0.7262254,-1.863331
0.7,-1.22466,-1.581193
0.8,-1.596325,-1.204694
0.9,-1.815988,-0.8378971
1,-1.928293,-0.5305754
1.1,-1.97514,-0.3142757
1.2,-1.990166,-0.1980865
1.3,-1.991679,-0.1822481
1.4,-1.982551,-0.2636083
1.5,-1.951065,-0.4396876
1.6,-1.871749,-0.7045497
1.7,-1.712807,-1.032457
1.8,-1.433601,-1.394354
1.9,-1.031453,-1.713305
2,-0.5016918,-1.935977
2.1,0.0873422,-1.998017
2.2,0.7298141,-1.861884
2.3,1.198211,-1.60115
2.4,1.549338,-1.264679
2.5,1.775898,-0.9197217
2.6,1.897023,-0.6334229
2.7,1.951805,-0.4364028
2.8,1.972203,-0.3322862
2.9,1.973317,-0.3256051
3,1.956476,-0.4149261
3.1,1.908274,-0.598628
3.2,1.802196,-0.8671125
3.3,1.605553,-1.192531
3.4,1.292708,-1.525923
3.5,0.85165,-1.809418
3.6,0.3209732,-1.973904
3.7,-0.2477266,-1.984462
3.8,-0.7935281,-1.835791
3.9,-1.243792,-1.566026
4,-1.560691,-1.250538
4.1,-1.769061,-0.9328479
4.2,-1.88483,-0.6688566
4.3,-1.938083,-0.493772
4.4,-1.957656,-0.4093676
4.5,-1.95499,-0.4219078
4.6,-1.928809,-0.5288117
4.7,-1.859224,-0.7369891
4.8,-1.726278,-1.00979
4.9,-1.496767,-1.326373
5,-1.154494,-1.632987
5.1,-0.7011787,-1.872914
5.2,-0.1658239,-1.993005
5.3,0.4020096,-1.959081
5.4,0.9162586,-1.77759
5.5,1.329349,-1.494149
5.6,1.611544,-1.184359
5.7,1.79337,-0.8852555
5.8,1.890273,-0.6532773
5.9,1.93536,-0.5043569
6,1.947642,-0.4546301
6.1,1.936742,-0.4990225
6.2,1.896528,-0.6349227
6.3,1.806893,-0.8572893
6.4,1.642318,-1.141259
6.5,1.3779,-1.449472
6.6,0.9974612,-1.733395
6.7,0.5113574,-1.933486
6.8,-0.03874664,-1.999522
6.9,-0.5919331,-1.910213
7,-1.066386,-1.691862
7.1,-1.424816,-1.403433
7.2,-1.672818,-1.096208
7.3,-1.823105,-0.8222805
7.4,-1.902397,-0.6171225
7.5,-1.934572,-0.5073709
7.6,-1.938933,-0.4904426
7.7,-1.91343,-0.5820119
7.8,-1.851165,-0.7570037
7.9,-1.726273,-1.009838
8,-1.513068,-1.307844
8.1,-1.187292,-1.609396
8.2,-0.7457806,-1.855588
8.3,-0.229213,-1.986343
8.4,0.3285903,-1.971672
8.5,0.8439162,-1.811825
8.6,1.259001,-1.553276
8.7,1.562427,-1.248394
8.8,1.757021,-0.9553331
8.9,1.865096,-0.7220262
9,1.918159,-0.5662583
9.1,1.936238,-0.5009812
9.2,1.928485,-0.5300367
9.3,1.889949,-0.6542295
9.4,1.805281,-0.8606913
9.5,1.650615,-1.129242
9.6,1.397322,-1.430792
9.7,1.027032,-1.716151
9.8,0.5598496,-1.919369
9.9,0.02183358,-1.997729
10,-0.5122607,-1.933151
10.1,-0.9825471,-1.741863
10.2,-1.353556,-1.472227
10.3,-1.609846,-1.18665
10.4,-1.769925,-0.9312937
10.5,-1.856194,-0.7446772
10.6,-1.894899,-0.6398068
10.7,-1.899336,-0.6265143
10.8,-1.872396,-0.7029183
10.9,-1.802821,-0.8658966
11,-1.672148,-1.097204
11.1,-1.452954,-1.374253
11.2,-1.135416,-1.646331
11.3,-0.7162914,-1.867294
11.4,-0.2276722,-1.986923
11.5,0.2852987,-1.979398
11.6,0.7784348,-1.842285
11.7,1.175843,-1.61771
11.8,1.464854,-1.361593
11.9,1.657944,-1.118564
12,1.771249,-0.9287826
12.1,1.826941,-0.8138034
12.2,1.841306,-0.7807631
12.3,1.817846,-0.833915
12.4,1.752214,-0.9641951
12.5,1.62904,-1.160214
12.6,1.420397,-1.407927
12.7,1.127015,-1.652111
12.8,0.7367451,-1.859222
12.9,0.2786625,-1.98039
13,-0.2139139,-1.98847
13.1,-0.6717979,-1.883695
13.2,-1.100419,-1.669935
13.3,-1.396188,-1.431969
13.4,-1.594064,-1.20787
13.5,-1.714886,-1.02915
13.6,-1.778713,-0.9144214
13.7,-1.796807,-0.8783414
13.8,-1.771661,-0.9280118
13.9,-1.698855,-1.05537
14,-1.56625,-1.243662
14.1,-1.354848,-1.471143
14.2,-1.050911,-1.701563
14.3,-0.6619911,-1.887137
14.4,-0.1993256,-1.990039
14.5,0.2656517,-1.982229
14.6,0.699248,-1.873721
14.7,1.075207,-1.68629
14.8,1.359927,-1.466403
14.9,1.559661,-1.251937
15,1.684904,-1.077527
15.1,1.748523,-0.970903
15.2,1.764414,-0.9417235
15.3,1.736998,-0.9913773
15.4,1.659402,-1.116389
15.5,1.523781,-1.295362
15.6,1.306374,-1.514304
15.7,0.9950581,-1.734861
15.8,0.6153046,-1.902932
15.9,0.1686581,-1.992749
16,-0.2977268,-1.977664
16.1,-0.7250416,-1.863912
16.2,-1.079543,-1.683581
16.3,-1.382402,-1.445246
16.4,-1.563405,-1.247251
16.5,-1.676179,-1.091048
16.6,-1.732838,-0.9986318
16.7,-1.73984,-0.9863847
16.8,-1.701213,-1.051602
16.9,-1.610443,-1.185924
17,-1.453073,-1.374187
17.1,-1.22069,-1.584181
17.2,-0.8961657,-1.787953
17.3,-0.5011858,-1.936135
17.4,-0.05463603,-1.999134
17.5,0.3892733,-1.961631
17.6,0.7982169,-1.833717
17.7,1.137726,-1.644839
17.8,1.392864,-1.435213
17.9,1.568396,-1.240975
18,1.672322,-1.096951
18.1,1.721056,-1.018804
18.2,1.723534,-1.014609
18.3,1.680489,-1.084407
18.4,1.584113,-1.220857
18.5,1.420484,-1.407848
18.6,1.176738,-1.617139
18.7,0.8467542,-1.811844
18.8,0.4472927,-1.949227
18.9,0.003465861,-1.999891
19,-0.4360123,-1.951832
19.1,-0.8416526,-1.81421
19.2,-1.165454,-1.625257
19.3,-1.410895,-1.417458
19.4,-1.576448,-1.230766
19.5,-1.672329,-1.096955
19.6,-1.715365,-1.028358
19.7,-1.711776,-1.03432
19.8,-1.661627,-1.113084
19.9,-1.558628,-1.253227
20,-1.385638,-1.442195
20.1,-1.135177,-1.646612
20.2,-0.7995428,-1.83314
20.3,-0.3934344,-1.960796
20.4,0.05260399,-1.99897
20.5,0.4832847,-1.940105
20.6,0.8716742,-1.79951
20.7,1.189151,-1.608011
20.8,1.422817,-1.405496
20.9,1.581378,-1.224399
21,1.673942,-1.094487
21.1,1.712843,-1.032554
21.2,1.700453,-1.052832
21.3,1.637026,-1.148966
21.4,1.515063,-1.30555
21.5,1.320944,-1.501627
21.6,1.043757,-1.705998
21.7,0.6914828,-1.876482
21.8,0.2753506,-1.979849
21.9,-0.1730632,-1.99238
22,-0.5978731,-1.908463
22.1,-0.966099,-1.751174
22.2,-1.257462,-1.555171
22.3,-1.458526,-1.368416
22.4,-1.587186,-1.216872
22.5,-1.657499,-1.119234
22.6,-1.677608,-1.088868
22.7,-1.649564,-1.130894
22.8,-1.570733,-1.238033
22.9,-1.429966,-1.398239
23,-1.221114,-1.583897
23.1,-0.9369068,-1.766948
23.2,-0.5652905,-1.918347
23.3,-0.1599403,-1.993509
23.4,0.2563933,-1.983455
23.5,0.6476026,-1.892227
23.6,0.9859937,-1.739986
23.7,1.284896,-1.532604
23.8,1.456331,-1.370767
23.9,1.561219,-1.250023
24,1.611917,-1.183943
24.1,1.612792,-1.182751
24.2,1.564161,-1.246351
24.3,1.461496,-1.365274
24.4,1.292844,-1.525905
24.5,1.05466,-1.699252
24.6,0.7420721,-1.857209
24.7,0.372335,-1.964983
24.8,-0.03169559,-1.999651
24.9,-0.4245536,-1.954336
25,-0.7867482,-1.838742
25.1,-1.082765,-1.681492
25.2,-1.303385,-1.51692
25.3,-1.455544,-1.37163
25.4,-1.543311,-1.272076
25.5,-1.576013,-1.231333
25.6,-1.558816,-1.253029
25.7,-1.491137,-1.332841
25.8,-1.367043,-1.459827
25.9,-1.174412,-1.618862
26,-0.9127705,-1.779526
26.1,-0.5856159,-1.912261
26.2,-0.2168139,-1.988122
26.3,0.1786038,-1.991963
26.4,0.5646034,-1.918569
26.5,0.913976,-1.778875
26.6,1.169075,-1.622687
26.7,1.351556,-1.474183
26.8,1.470351,-1.355742
26.9,1.533754,-1.283588
27,1.545084,-1.269927
27.1,1.506315,-1.315674
27.2,1.414603,-1.413801
27.3,1.259064,-1.553908
27.4,1.037937,-1.709555
27.5,0.7557298,-1.851687
27.6,0.4184805,-1.955701
27.7,0.04355139,-1.999499
27.8,-0.3422931,-1.970406
27.9,-0.6885841,-1.87765
28,-0.9885969,-1.738565
28.1,-1.219505,-1.585155
28.2,-1.378701,-1.448836
28.3,-1.480073,-1.345125
28.4,-1.523112,-1.296198
28.5,-1.515273,-1.305352
28.6,-1.455666,-1.371497
28.7,-1.341162,-1.483644
28.8,-1.162802,-1.627185
28.9,-0.9140155,-1.778893
29,-0.6042611,-1.906507
29.1,-0.2446452,-1.9849
29.2,0.1321363,-1.99555
29.3,0.4952648,-1.937652
29.4,0.8206994,-1.823854
29.5,1.08226,-1.681866
29.6,1.284842,-1.532668
29.7,1.417065,-1.411339
29.8,1.4923,-1.331555
29.9,1.512559,-1.308498
30,1.483392,-1.34147
30.1,1.400119,-1.42815
30.2,1.259901,-1.553232
30.3,1.054288,-1.6995
30.4,0.7773743,-1.842738
30.5,0.4474298,-1.949253
30.6,0.07895736,-1.998357
30.7,-0.2856417,-1.979415
30.8,-0.6337843,-1.896863
30.9,-0.9313585,-1.769876
31,-1.164411,-1.626063
31.1,-1.334478,-1.489684
31.2,-1.448092,-1.379494
31.3,-1.498919,-1.3241
31.4,-1.498115,-1.325009
31.5,-1.44637,-1.381301
31.6,-1.337376,-1.487059
31.7,-1.141611,-1.642164
31.8,-0.9012526,-1.785417
31.9,-0.6008613,-1.907579
32,-0.2517235,-1.98403
32.1,0.113726,-1.996627
32.2,0.4809194,-1.94115
32.3,0.8084278,-1.829312
32.4,1.070623,-1.689276
32.5,1.266136,-1.548169
32.6,1.401809,-1.426493
32.7,1.478296,-1.347082
32.8,1.501542,-1.321125
32.9,1.474315,-1.351441
33,1.393586,-1.434535
33.1,1.255479,-1.556818
33.2,1.049188,-1.702652
33.3,0.784729,-1.839554
33.4,0.4579035,-1.946488
33.5,0.0934279,-1.996627
33.6,-0.270761,-1.981539
33.7,-0.613989,-1.903358
33.8,-0.9061208,-1.782903
33.9,-1.14161,-1.642132
34,-1.3068,-1.514002
34.1,-1.412557,-1.41586
34.2,-1.464294,-1.362294
34.3,-1.46317,-1.363499
34.4,-1.410444,-1.417963
34.5,-1.3027,-1.517533
34.6,-1.136952,-1.645372
34.7,-0.9045941,-1.783712
34.8,-0.6162727,-1.902624
34.9,-0.2840381,-1.979654
35,0.07013072,-1.99872
35.1,0.4156511,-1.95633
35.2,0.7210342,-1.865503
35.3,0.9790909,-1.743933
35.4,1.176117,-1.617614
35.5,1.314183,-1.507606
35.6,1.392899,-1.435207
35.7,1.419639,-1.408767
35.8,1.395727,-1.432459
35.9,1.320335,-1.502232
36,1.189901,-1.607524
36.1,0.9983726,-1.732959
36.2,0.7522421,-1.853095
36.3,0.4511921,-1.948376
36.4,0.1175838,-1.996492
36.5,-0.223136,-1.987512
36.6,-0.5453417,-1.924172
36.7,-0.822615,-1.822951
36.8,-1.0505,-1.701859
36.9,-1.217288,-1.586873
37,-1.325529,-1.497651
37.1,-1.377373,-1.450118
37.2,-1.377486,-1.450011
37.3,-1.326048,-1.49719
37.4,-1.218479,-1.585965
37.5,-1.055129,-1.699001
37.6,-0.8315253,-1.818897
37.7,-0.5612814,-1.919569
37.8,-0.2485059,-1.984458
37.9,0.07680561,-1.998483
38,0.4030168,-1.958958
38.1,0.7063931,-1.871049
38.2,0.950473,-1.759696
38.3,1.134602,-1.647013
38.4,1.263313,-1.550493
38.5,1.336586,-1.487794
38.6,1.35793,-1.468341
38.7,1.327692,-1.495736
38.8,1.244442,-1.565682
38.9,1.103307,-1.66812
39,0.9108547,-1.780506
39.1,0.6648064,-1.886223
39.2,0.3738822,-1.964681
39.3,0.04385442,-1.999519
39.4,-0.283857,-1.979699
39.5,-0.581717,-1.91348
39.6,-0.840013,-1.814998
39.7,-1.04746,-1.703737
39.8,-1.200818,-1.599379
39.9,-1.297139,-1.522306
40,-1.338325,-1.486231
40.1,-1.327854,-1.495593
40.2,-1.257559,-1.555162
40.3,-1.136348,-1.64581
40.4,-0.9613252,-1.753792
40.5,-0.7262058,-1.863449
40.6,-0.446517,-1.949466
40.7,-0.1355594,-1.995366
40.8,0.186586,-1.991266
40.9,0.4958482,-1.93751
41,0.7648458,-1.847929
41.1,0.9899503,-1.737789
41.2,1.154387,-1.633205
41.3,1.264415,-1.549595
41.4,1.320124,-1.502421
41.5,1.324605,-1.498473
41.6,1.277955,-1.538445
41.7,1.17985,-1.614904
41.8,1.023919,-1.718009
41.9,0.8124813,-1.827494
42,0.5488074,-1.923177
42.1,0.2449154,-1.984929
42.2,-0.0778279,-1.998438
42.3,-0.39999,-1.959555
42.4,-0.6845183,-1.8792
42.5,-0.9220232,-1.774757
42.6,-1.102313,-1.668781
42.7,-1.228142,-1.578489
42.8,-1.301146,-1.518885
42.9,-1.322147,-1.500642
43,-1.290694,-1.527776
43.1,-1.207268,-1.594509
43.2,-1.070207,-1.68955
43.3,-0.8718469,-1.799952
43.4,-0.6227172,-1.900537
43.5,-0.326137,-1.973191
43.6,-0.006673609,-1.999957
43.7,0.3124985,-1.975376
43.8,0.6001496,-1.907779
43.9,0.8489556,-1.810837
44,1.049877,-1.702266
44.1,1.193679,-1.604718
44.2,1.282657,-1.534529
44.3,1.318568,-1.503788
44.4,1.304571,-1.515944
44.5,1.24023,-1.569012
44.6,1.120244,-1.656811
44.7,0.9455297,-1.762366
44.8,0.7136641,-1.868291
44.9,0.4377196,-1.951199
45,0.132724,-1.994656
45.1,-0.2484581,-1.984498
45.2,-0.5479383,-1.923434
45.3,-0.8020817,-1.83208
45.4,-1.021247,-1.719582
45.5,-1.16653,-1.62455
45.6,-1.256051,-1.556383
45.7,-1.293047,-1.525788
45.8,-1.278756,-1.537783
45.9,-1.212012,-1.590913
46,-1.094338,-1.674037
46.1,-0.9260642,-1.772672
46.2,-0.7038147,-1.872055
46.3,-0.4422292,-1.950474
46.4,-0.1518485,-1.994197
46.5,0.1465772,-1.994592
46.6,0.4342659,-1.952252
46.7,0.6921035,-1.876398
46.8,0.9130791,-1.779381
46.9,1.074872,-1.686598
47,1.185014,-1.611128
47.1,1.241984,-1.567633
47.2,1.248485,-1.56246
47.3,1.204153,-1.596873
47.4,1.110269,-1.663516
47.5,0.9657547,-1.751373
47.6,0.7696692,-1.845956
47.7,0.5311834,-1.928148
47.8,0.2590903,-1.983116
47.9,-0.04049077,-1.99954
48,-0.3245313,-1.973447
48.1,-0.5926304,-1.910163
48.2,-0.8191985,-1.824521
48.3,-0.9969414,-1.733797
48.4,-1.123636,-1.654511
48.5,-1.197466,-1.601895
48.6,-1.221298,-1.583803
48.7,-1.197194,-1.602099
48.8,-1.12481,-1.653718
48.9,-1.000508,-1.731756
49,-0.8290826,-1.820058
49.1,-0.6071604,-1.905581
49.2,-0.3487431,-1.969314
49.3,-0.06987916,-1.998729
49.4,0.2124634,-1.988634
49.5,0.4855998,-1.940124
49.6,0.7220067,-1.865116
49.7,0.9211205,-1.775234
49.8,1.065525,-1.692519
49.9,1.155266,-1.632589
50,1.196997,-1.602248
50.1,1.188806,-1.608334
50.2,1.1305,-1.649832
50.3,1.024392,-1.717721
50.4,0.870128,-1.800773
50.5,0.6667449,-1.885563
50.6,0.4208694,-1.955212
50.7,0.1486235,-1.994445
50.8,-0.1363473,-1.9953
50.9,-0.4052966,-1.958459
51,-0.6464726,-1.8926
51.1,-0.8506743,-1.810044
51.2,-1.008127,-1.727321
51.3,-1.114401,-1.660751
51.4,-1.172679,-1.62013
51.5,-1.182347,-1.613088
51.6,-1.143353,-1.640954
51.7,-1.055867,-1.698559
51.8,-0.9181662,-1.776765
51.9,-0.7310007,-1.861603
52,-0.5057905,-1.934964
52.1,-0.2490211,-1.984412
52.2,0.02608553,-1.999818
52.3,0.3039921,-1.976732
52.4,0.5551514,-1.921378
52.5,0.7730584,-1.844527
52.6,0.9495065,-1.76022
52.7,1.074007,-1.687154
52.8,1.148748,-1.637186
52.9,1.174969,-1.618471
53,1.153645,-1.633738
53.1,1.082513,-1.681706
