t,XPos,YPos
0,1.912611,-0.5845176
0.1,1.759193,-0.9510647
0.2,1.479113,-1.343707
0.3,1.060096,-1.695874
0.4,0.4966064,-1.93716
0.5,-0.1211766,-1.996091
0.6,-0.7188718,-1.866127
0.7,-1.214153,-1.589113
0.8,-1.570362,-1.238368
0.9,-1.798625,-0.8746105
1,-1.917547,-0.5683179
1.1,-1.970779,-0.3405529
1.2,-1.989068,-0.2087935
1.3,-1.992009,-0.1786056
1.4,-1.984788,-0.2461398
1.5,-1.957004,-0.4123785
1.6,-1.885147,-0.6679671
1.7,-1.734371,-0.9958398
1.8,-1.474411,-1.351153
1.9,-1.08867,-1.67754
2,-0.5762856,-1.914963
2.1,0.01359766,-1.999836
2.2,0.5865482,-1.91197
2.3,1.090815,-1.676281
2.4,1.467679,-1.358557
2.5,1.722759,-1.015757
2.6,1.868516,-0.7130737
2.7,1.939456,-0.4883164
2.8,1.968523,-0.3534357
2.9,1.974651,-0.3174169
3,1.96344,-0.380623
3.1,1.925518,-0.5406386
3.2,1.838766,-0.7866851
3.3,1.669988,-1.100395
3.4,1.385404,-1.442275
3.5,0.9882129,-1.738629
3.6,0.4803848,-1.941316
3.7,-0.08231298,-1.998199
3.8,-0.6392433,-1.89508
3.9,-1.120318,-1.656625
4,-1.479778,-1.345287
4.1,-1.715076,-1.028691
4.2,-1.857364,-0.7417202
4.3,-1.925871,-0.5394568
4.4,-1.95436,-0.4248195
4.5,-1.958195,-0.4067814
4.6,-1.939975,-0.4862689
4.7,-1.888666,-0.6579131
4.8,-1.780297,-0.9113391
4.9,-1.583845,-1.221109
5,-1.271796,-1.543378
5.1,-0.8470792,-1.811611
5.2,-0.3192626,-1.97433
5.3,0.2380934,-1.985689
5.4,0.7680787,-1.84648
5.5,1.214471,-1.588871
5.6,1.534171,-1.282939
5.7,1.746154,-0.9751204
5.8,1.864403,-0.7238678
5.9,1.92304,-0.5494664
6,1.945705,-0.4628532
6.1,1.943867,-0.4705074
6.2,1.916666,-0.5712687
6.3,1.848049,-0.7645712
6.4,1.712082,-1.033785
6.5,1.481559,-1.343391
6.6,1.136954,-1.645227
6.7,0.6786304,-1.881177
6.8,0.1418386,-1.994875
6.9,-0.4019963,-1.959104
7,-0.900281,-1.785874
7.1,-1.302182,-1.517996
7.2,-1.592115,-1.210363
7.3,-1.777752,-0.9161798
7.4,-1.877777,-0.6883752
7.5,-1.925949,-0.5391788
7.6,-1.940315,-0.484951
7.7,-1.929515,-0.5262648
7.8,-1.888799,-0.6575405
