t,XPos,YPos
0,0,-0.6710039
0.05,0,-0.9064439
0.1,0,-1.083024
0.15,0,-1.377324
0.2,0,-1.70694
0.25,0,-1.938304
0.3,0,-2.254779
0.35,0,-2.445383
0.4,0,-2.700719
0.45,0,-2.91937
0.5,0,-3.044758
0.55,0,-3.202269
0.6,0,-3.286897
0.65,0,-3.383269
0.7,0,-3.427137
0.75,0,-3.462369
0.8,0,-3.460917
0.85,0,-3.439569
0.9,0,-3.376977
0.95,0,-3.314869
1,0.001456245,-3.191137
1.05,0.00526736,-3.030715
1.1,0.009322008,-2.903378
1.15,0.01743886,-2.681798
1.2,0.02318142,-2.537701
1.25,0.03179527,-2.350985
1.3,0.04040911,-2.199585
1.35,0.04902296,-2.083501
1.4,0.05636485,-2.001786
1.45,0.07180721,-1.848806
1.5,0.08538969,-1.726575
1.55,0.1089797,-1.536803
1.6,0.1325697,-1.382347
1.65,0.1492194,-1.291049
1.7,0.1813998,-1.123968
1.75,0.2079859,-0.9925309
1.8,0.2561252,-0.7653774
1.85,0.3148476,-0.5023224
1.9,0.3602467,-0.3070641
1.95,0.4368434,0.01532807
2,0.519524,0.3493238
2.05,0.574172,0.552283
2.1,0.6561438,0.827292
2.15,0.7107918,0.9910113
2.2,0.7913498,1.206887
2.25,0.8697878,1.387034
2.3,0.920902,1.487282
2.35,0.9965129,1.608019
2.4,1.04692,1.66889
2.45,1.122295,1.730723
2.5,1.195781,1.756898
2.55,1.243589,1.754519
2.6,1.313527,1.721223
2.65,1.358967,1.679217
2.7,1.425346,1.58652
2.75,1.496326,1.505933
2.8,1.548178,1.472331
2.85,1.631768,1.452214
2.9,1.690797,1.459045
2.95,1.783074,1.499716
3,1.845615,1.547104
3.05,1.939585,1.648664
3.1,2.001586,1.73673
3.15,2.093631,1.899391
3.2,2.183189,2.098689
3.25,2.240294,2.25188
3.3,2.321366,2.48828
3.35,2.401721,2.689434
3.4,2.482077,2.855273
3.45,2.562432,2.985795
3.5,2.616002,3.05319
3.55,2.696358,3.124852
3.6,2.749928,3.153007
3.65,2.816496,3.211785
3.7,2.860678,3.303672
3.75,2.884889,3.360427
3.8,2.921206,3.416129
3.85,2.945417,3.433644
3.9,2.983043,3.429887
3.95,3.022612,3.389869
4,3.050056,3.343018
4.05,3.092797,3.24244
4.1,3.122328,3.155165
4.15,3.168159,2.993881
4.2,3.199722,2.866087
4.25,3.248555,2.643956
4.3,3.299144,2.385253
4.35,3.333829,2.192442
4.4,3.357351,1.910213
4.45,3.34789,1.732942
4.5,3.294278,1.482835
4.55,3.192013,1.250481
4.6,3.096076,1.104754
4.65,2.910468,0.8978428
4.7,2.673787,0.703252
4.75,2.384495,0.5192961
4.8,2.161628,0.4016669
4.85,1.800223,0.216737
4.9,1.559997,0.07286374
4.95,1.200675,-0.1738614
5,0.8425079,-0.4577279
5.05,0.6043316,-0.6676301
5.1,0.2479063,-1.013506
5.15,0.0108083,-1.264791
5.2,-0.3441349,-1.672806
5.25,-0.5879762,-1.962704
5.3,-1.010874,-2.408695
5.35,-1.331394,-2.715132
5.4,-1.870771,-3.191362
5.45,-2.481139,-3.691001
5.5,-2.927774,-4.039066
5.55,-3.609677,-4.589494
5.6,-4.116965,-4.66889
5.65,-4.40752,-4.636128
5.7,-4.831581,-4.615359
5.75,-5.10644,-4.611199
5.8,-5.506957,-4.609134
5.85,-5.893347,-4.607679
5.9,-6.143092,-4.606956
5.95,-6.505939,-4.606144
6,-6.739988,-4.605741
6.05,-7.07929,-4.605287
6.1,-7.297643,-4.605061
6.15,-7.613401,-4.604807
6.2,-7.816059,-4.604681
6.25,-8.108273,-4.60454
6.3,-8.295235,-4.604469
6.35,-8.563905,-4.60439
6.4,-8.818448,-4.604334
6.45,-8.980296,-4.604307
6.5,-9.211295,-4.
